Date,258_0_RV,259_0_RV,260_0_RV,260_1038_RV,260_1039_RV,260_1040_RV,261_0_RV,265_0_RV,266_0_RV,269_0_RV,270_0_RV,273_0_RV,273_278_RV,273_279_RV,273_280_RV,273_281_RV,50_0_RV,50_224_RV,50_225_RV,50_226_RV,50_227_RV,50_228_RV,854_0_RV
1/30/17,14756,27988.599,45283.2,41340,3943.2,0,278.26,60204.8,78986.4,80782.72,1536,391.2,0,0,0,391.2,228623.11,161977.67,28190,34609.09,0,3846.36,3984
1/31/17,11320,49299.44,28847.2,26031.2,2816,0,2904.52,69497.849,74965.6,102690.91,3872,8568,0,0,0,1288,175488.8,142822.44,10379.09,14963.64,0,7323.64,675.2
2/1/17,16288.8,57306.4,4035.2,3028,1007.2,0,1708.35,91990.809,111412.8,75929.09,3784,1314,0,0,0,1314,293265.9,185537.26,19437.73,77518.18,3249.09,7523.64,1140
2/2/17,16584,52504.817,69392,62896.8,6495.2,0,3196.69,86394.238,48897.6,132748.18,3048,2272.36,0,0,0,2272.36,221344.54,119091.82,8539.1,83727.27,0,9986.36,837.6
2/3/17,20713.6,95303.119,70612,63288,7132,0,3039.82,101272.729,359813.12,121564.55,7920,13475.2,0,0,0,675.2,229673.82,77417.91,3786.37,128904.55,0,19565,1792.4
2/4/17,22044,92735.569,1247.2,540,707.2,0,2556.18,107579.587,156804,8054.54,8320,3380,0,0,0,180,197172.29,80762.91,22352.11,63050,0,31007.27,1287.2
2/5/17,7072,9464.8,0,0,0,0,4912,48598.319,0,0,1280,140,0,0,0,140,84904.28,60486.55,10648.64,0,0,13769.09,1794.4
2/6/17,13204,20241.988,4556.8,4160,396.8,0,1536.7,58343.028,26021.92,43803.64,1920,839.2,0,0,0,839.2,218688.26,166032.81,18332.28,22713.64,0,11609.54,595.2
2/7/17,19680,85738.398,67760.8,61269.6,6491.2,0,1348.87,64516.81,72485.6,104251.82,1792,468.6,0,0,0,468.6,379973.87,255426.6,5014.54,113177.27,0,6355.45,1188
2/8/17,20648.6,50558.06,64460,58880,5580,0,1700.87,76212.64,20422.4,87009.09,2800,104.4,0,0,0,104.4,384481.33,285857.69,15731.82,76441.82,0,6450,2165.6
2/9/17,20040,100640.24,51096.8,45859.2,5237.6,0,2815.65,110252.577,21365.6,105218.18,6064,2372.8,0,0,0,1372.8,298488.05,188964.41,0,92677.27,2127.27,13719.09,2115.2
2/10/17,15716,101109.77,31691.2,27900,3791.2,0,4212.17,101343.85,17120.8,104353.63,6096,2803,0,0,0,383,147662.79,112056.42,10672.72,3845.45,1709.09,16959.1,2189.6
2/11/17,21309,94886.848,2448,1620,828,0,2822.61,113957.579,0,10186.36,8880,210,0,0,0,210,180156.84,149900.93,14609.55,0,0,15646.36,1108
2/12/17,8788,28452.8,2448,1620,828,0,3035.31,60107.968,0,10186.36,64,60,0,0,0,60,62882.97,48644.8,8578.18,0,0,5660,1224
2/13/17,7248,18582.4,0,0,0,0,634.43,54191.2,11305.6,4545.45,2304,202,0,0,0,202,121199.86,81235.77,2322.27,27320.91,0,10320.91,685.04
2/14/17,21160,105781.478,16946.4,15808,1102.4,0,1007.13,85123.199,98102.4,116074.55,2016,77164.18,0,0,0,76214.18,368706.04,72554.09,0,286755.45,0,8446.5,2597.6
2/15/17,20972,69017.6,107356.8,97868,9488.8,0,1016.18,105244.01,444895.2,143402.74,3064,1011.29,0,0,0,1011.29,352920.46,49900.91,0,293395.45,0,9624.09,716
2/16/17,10576,64159.36,8829.6,6272.8,2556.8,0,7638.61,93562.387,7467.2,75214.54,4304,609.6,0,0,0,609.6,142602.92,96257.22,17629.33,20163.64,0,8552.73,676
2/17/17,18616,79669.12,68896,62760,6136,0,2839.48,119120.789,153488.8,133045.45,5536,683.8,0,0,0,683.8,150922.29,63553.82,63785.74,0,12236.36,11346.36,3110.24
2/18/17,20922,81536.38,0,0,0,0,721.74,115819.529,94895.999,0,5120,1111,0,0,0,216,181204.85,86667.52,77288.23,0,0,16354.1,3324.45
2/19/17,9516,15366.4,0,0,0,0,2716,45991.67,0,0,1920,1296.82,0,0,0,1296.82,72577.9,35938.4,25364.95,0,0,11274.55,1216.8
